display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Bill Cosford,Miami Herald,As goofy as a Saturday Night Live skit but as lethal as a clip from an Eastwood spaghetti western. [Full review in Spanish],"| Original Score: 2.5/4
                
                |","Sep 8, 2021"
Michael MacCambridge,Austin American-Statesman,Consuelo [Gómez] possesses just the right touch of mystery for her role.,"| Original Score: 3/4
                
                |","Sep 8, 2021"
Dave Kehr,Chicago Tribune,Rodriguez has style to spare.,"| Original Score: 3/4
                
                |","Sep 8, 2021"
Robert W. Butler,Kansas City Star,It's a giddily fun ride... that embraces its own silliness and leaves you marveling.,"| Original Score: 3/4
                
                |","Sep 8, 2021"
Malcolm Johnson,Hartford Courant,"This dark, mythical Mexican revenge comedy proves something of a miracle.","| Original Score: 3/4
                
                |","Sep 8, 2021"
Gene Siskel,Chicago Tribune,"One can only, hope that Rodriguez follows in the steps of Spike Lee and manages to trigger a surge of Latino filmmaking.","| Original Score: 3.5/4
                
                |","Sep 8, 2021"
Augusto Martínez Torres,El Pais (Spain),"Without a doubt, Robert Rodríguez is an excellent producer... But as a screenwriter, and especially as a director, he still has a lot, or rather everything, to learn. [Full review in Spanish]",|,"Sep 8, 2021"
Judy Gerstel,Detroit Free Press,"Like an outlaw Strictly Ballroom, El Mariachi is an irresistible send-up with an engaging plot.","| Original Score: 3/4
                
                |","Sep 8, 2021"
Jeff Simon,Buffalo News,"It is, in its way, what movies are all about. And it's a lark. If you ever loved movies at all, you'll probably want to see it.","| Original Score: 3.5/4
                
                |","Sep 8, 2021"
Eleanor Ringel Cater,Atlanta Journal-Constitution,"[Robert Rodriguez's] brio is infectious -- not just because he's so willing to try anything but because he has a born comedian's superb sense of timing. For all its gunplay and dead bodies, his movie works like an expertly honed stage farce.",|,"Sep 8, 2021"
Katherine Monk,Vancouver Sun,"Not all of it works, but young Rodriguez understands the most important thing of all: keep people entertained, and you can get away with anything.","| Original Score: 3/4
                
                |","Sep 8, 2021"
Barbara Vancheri,Pittsburgh Post-Gazette,"At any rate, this marks an auspicious debut for a director who knows how to live by his wits, his eye for talent and (Hollywood loves this) his budget.","| Original Score: 3/4
                
                |","Sep 8, 2021"
Rene Jordan,El Nuevo Herald (Miami),[An] astonishing debut. [Full review in Spanish],|,"Sep 8, 2021"
Jack Mathews,Newsday,"For all its endless chases and gory shoot-outs, there isn't a moment of real tension in El Mariachi.","| Original Score: 2.5/4
                
                |","Sep 8, 2021"
Peter Rainer,Los Angeles Times,It's basically a cinematic exercise that provides a shoot-out or a chase scene every few minutes. But from moment to moment it keeps you watching.,|,"Sep 8, 2021"
Scott Rosenberg,San Francisco Examiner,"Rodriguez makes his limitations serve the film: The underpopulated landscape has a poetic feel, and the jittery hand-held shots add to the tension.","| Original Score: 2.5/4
                
                |","Sep 8, 2021"
Helen Greenwood,Sydney Morning Herald,"[El Mariachi,] by the first-time director, Robert Rodriguez goes where many people have tried to go and often failed: into the land of the tight and controlled and funny parody.",|,"Sep 8, 2021"
Glenn Lovell,Knight Ridder News Service,"Lacking the resources of a T2, Rodriguez has done something that's fairly heretical in Hollywood these days: He has subbed imagination humor and a lot of old-fashion camera trickery.",|,"Sep 8, 2021"
Roger Ebert,Chicago Sun-Times,An enormously entertaining movie.,"| Original Score: 3/4
                
                |","Aug 30, 2021"
Justin Brown,Medium Popcorn,The director did a great job with the $7k budget he had.,"| Original Score: 3/5
                
                |","May 7, 2021"
Brandon Collins,Medium Popcorn,The performances were a bit uneven but it's a solid movie. Rodriguez did a good job working with what he had.,"| Original Score: 3/5
                
                |","May 7, 2021"
David Nusair,Reel Film Reviews,Famously shot for around $7000...,"| Original Score: 2.5/4
                
                |","May 7, 2020"
Brian D. Johnson,Maclean's Magazine,"With kinetic camera work and dynamic editing, Rodriguez constructs action sequences that leave a lot of big-budget movies in the dust. Besides, the movie's history has become part of its charm.",|,"Oct 15, 2019"
R.L. Shaffer,IGN DVD,"Despite its age, El Mariachi holds up remarkably well. The film's low budget (roughly $7,000, allegedly) actually helps build tension in the narrative - like you're watching something that's really happening.","| Original Score: 8/10
                
                |","Jan 16, 2011"
Todd McCarthy,Variety,"Has a verve and cheekiness that's partly a smart wedding of such influences as Sergio Leone, George Miller and south-of-the-border noir.",|,"Nov 12, 2008"
TV Guide Staff,TV Guide,"The unrelenting tempo is bolstered by Rodriguez's camera work and editing: nearly every frame seems to have been shot with a careening, handheld camera, and they're cut together in a skillful, fluid fashion that enhances the tension and pace.","| Original Score: 3.5/4
                
                |","Mar 13, 2007"
Jonathan Rosenbaum,Chicago Reader,"Juicy, adroit, and likable.",|,"Mar 13, 2007"
Emanuel Levy,EmanuelLevy.Com,"No festival is true to its name if it doesn't display at least one discovery. In 1992 that spot was occupied by Robert Rodriguez, who made a charming actioner for $7,500; never mind that Columbia later invested $1 million for its theatrical release.","| Original Score: 4/5
                
                |","Jun 26, 2006"
Geoff Andrew,Time Out,"Rodriguez goes for broke with a breakneck pace, swarms of bullets, cinematic tricks, and a tone as playful as it is knowing of genre conventions. The director's light touch is all his own; and this unpretentious offering delivers in all departments.",|,"Jan 26, 2006"
Cole Smithey,ColeSmithey.com,,"Full Review
                
                
                    | Original Score: 3/5
                
                |","Nov 1, 2005"
Rob Thomas,"Capital Times (Madison, WI)",An endlessly inventive and charming zero-budget action movie.,"Full Review
                
                
                    | Original Score: 4/5
                
                |","Jul 8, 2005"
Widgett Walls,Needcoffee.com,Brilliant low-budget filmmaking. Better than most action films with ten times the budget.,"Full Review
                
                
                    | Original Score: 4/5
                
                |","Jul 20, 2004"
Brian Mckay,eFilmCritic.com,"Nowhere near as extravagant as its succesors, yet it remains a constant simple pleasure, best enjoyed with a shot of Patron and a cold Corona","| Original Score: 4/5
                
                |","Feb 21, 2004"
Karina Montgomery,Cinerina,Inspiring but misses a few cylinders,"Full Review
                
                
                    | Original Score: 2/5
                
                |","Oct 8, 2003"
Forrest Hartman,Reno Gazette-Journal,A silly adventure tale that would have failed even with a $200 million budget.,"Full Review
                
                
                    | Original Score: C-
                
                |","Sep 26, 2003"
Bill Chambers,Film Freak Central,"Has tons more charm than its star-studded, big-budget reprise, Desperado.","| Original Score: 3/4
                
                |","Aug 9, 2003"
Janet Maslin,New York Times,"It goes without saying that Mr. Rodriguez, having made such a clever and inventive debut, is prepared for a big future of his own.",|,"May 20, 2003"
Jeffrey Westhoff,"Northwest Herald (Crystal Lake, IL)",,"Full Review
                
                
                    | Original Score: 3/5
                
                |","Mar 27, 2003"
Brian J. Arthurs,Beach Reporter (Southern California),,"Full Review
                
                
                    | Original Score: 4/5
                
                |","Oct 18, 2002"
Dragan Antulov,rec.arts.movies.reviews,Arguably the most amazing film made in 1990s.,"Full Review
                
                
                    | Original Score: 7/10
                
                |","Sep 9, 2002"
Mike McGranaghan,Aisle Seat,Low-budget filmmaking at its most clever.,"Full Review
                
                
                    | Original Score: 3/5
                
                |","Aug 5, 2002"
Philip Martin,Arkansas Democrat-Gazette,,"Full Review
                
                
                    | Original Score: 3/5
                
                |","Jul 30, 2002"
Stephen Farber,Movieline,"Not exactly a monumental contribution to cinematic art, but it's a lot of fun.",|,"Jan 9, 2002"
Hal Hinson,Washington Post,"Watching his film, you can feel the sheer joy that went into its creation.",|,"Jan 1, 2000"
Marc Savlov,Austin Chronicle,"While the story may be a common one, Rodriguez, who wrote, produced, shot and edited the entire film himself, has a uniquely straightforward wit that makes what might otherwise have been just another shoot-'em-up something more than that.","| Original Score: 3.5/5
                
                |","Jan 1, 2000"
Chris Hicks,Deseret News (Salt Lake City),The energy that propels the action and the style and humor of the film and its players makes El Mariachi an entertaining ride.,"| Original Score: 2.5/4
                
                |","Jan 1, 2000"
Aaron Lazenby,Filmcritic.com,more life than 10 summer blockbusters combined,"| Original Score: 4/5
                
                |","Jan 1, 2000"
Film4 Staff,Film4,"The film is a minor miracle. Its references are legion, and it reconstructs the traditional spaghetti western to incorporate advances in cinematic violence from Woo to Tarantino.",|,"Jan 1, 2000"
James Berardinelli,ReelViews,"A gripping, tautly-paced action flick that outdoes most of Hollywood's similar output.","| Original Score: 3/4
                
                |","Jan 1, 2000"
