display-name,publication,review-text,original-score-and-url,original-score-and-url 2
David Elliott,San Diego Union-Tribune,"Gamazon is a capable actor for this hard tour. He and Dela Llana filmed with the kind of brave hustle and bustle that plows vividly through glib touches, repetition, razzle effects and shocks that whomp us hard.","Full Review
                
                
                    | Original Score: 3/4
                
                |","Jun 16, 2006"
Ruthe Stein,San Francisco Chronicle,This is by no means a polished film. But it has an energy lacking in thrillers that cost hundreds times more to make.,"| Original Score: 3/4
                
                |","Jun 16, 2006"
Doug Cummings,Filmjourney,"The film maintains an impressive narrative momentum throughout, but its documentary details make the biggest impression.",|,"Jun 13, 2006"
Peter Canavese,Groucho Reviews,a fresh bid for indie-thriller cred....[but] watching Gamazon and Dela Llana charge through their limitations is a bit like watching a sprinter run in clogs.,"Full Review
                
                
                    | Original Score: 2.5/4
                
                |","Jun 6, 2006"
Kevin Crust,Los Angeles Times,"Though the film seldom deviates from its thriller format, Gamazon and Dela Llana astutely weave in matters of political, cultural and religious importance, elevating Cavite well above mere genre.","| Original Score: 4/5
                
                |","Jun 3, 2006"
Saul Austerlitz,Boxoffice Magazine,"The film is a tender, unflinching look at the brutal conditions of life in the Philippines, its sympathy for its accidental subjects intertwined with a flexible, on-the-fly mode of filmmaking.","| Original Score: 3/5
                
                |","Jun 3, 2006"
Les Wright,culturevulture.net,The directing duo brilliantly stretch the limits of their very low budget to moving aesthetic and dramatic effect.,|,"Jun 1, 2006"
Owen Gleiberman,Entertainment Weekly,"One of those blistering no-budget thrillers, like Open Water or Detour, in which the film's economy of means is the trigger for its ingenuity.","| Original Score: B+
                
                |","May 31, 2006"
David Edelstein,New York Magazine/Vulture,A microbudget exercise in sensory overload that leaves you sick on all sorts of levels.,"Full Review
                
                
                |","May 30, 2006"
Pam Grady,Reel.com,Gamazon and Dela Llana have accomplished a neat trick: delivering a piece of terrific entertainment while opening a window on bigger issues and a rarely seen culture.,"Full Review
                
                
                    | Original Score: 3.5/4
                
                |","May 26, 2006"
Maitland McDonagh,TV Guide,"It's easy to envision the big-budget remake, but hard to imagine a mainstream American production capturing the original's sour, sweaty immediacy.","| Original Score: 3/4
                
                |","May 26, 2006"
Jan Stuart,Newsday,"Enhanced by the you-are-there immediacy of a hand-held digital camera, Cavite works up a visceral potency that overleaps the credibility gaps in the omniscient-terrorist device.","Full Review
                
                
                    | Original Score: 3/4
                
                |","May 26, 2006"
Kyle Smith,New York Post,A last act full of reversals would have filled in the holes in Cavite.,"Full Review
                
                
                    | Original Score: 2.5/4
                
                |","May 26, 2006"
Jack Mathews,New York Daily News,"The hand-held camera work gives the film an effective documentary pulse, but it adds up to only half a movie.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 26, 2006"
Eric Lurio,Greenwich Village Gazette,It's amazing what you can do with almost no money nowadays.,"Full Review
                
                
                    | Original Score: 3.2/5
                
                |","May 26, 2006"
Chris Cabin,Filmcritic.com,Alarming and unrelenting,"Full Review
                
                
                    | Original Score: 3.5/5
                
                |","May 25, 2006"
Peter Rainer,Christian Science Monitor,"Cavite was shot on a microbudget, and that turns out to be a plus. After so many overproduced blockbusters this season, it's nice to see a movie that's lean and mean.","| Original Score: B+
                
                |","May 25, 2006"
Stephen Holden,New York Times,"Terrorism and cultural identity are only two of the themes wound into a tight knot of fear and bewilderment in Cavite, a gripping no-budget political thriller.","Full Review
                
                
                    | Original Score: 3.5/5
                
                |","May 25, 2006"
Scott Tobias,AV Club,"It might have worked if co-director/star Gamazon had taken an acting class, or if the kidnapper didn't sound like a villainous GPS navigating device.","Full Review
                
                
                |","May 25, 2006"
Dennis Lim,Village Voice,"A paragon of guerrilla resourcefulness and a model citizen of the global village, Cavite is a more anxious and vivid experience than most movies with budgets literally a thousand times bigger.","Full Review
                
                
                |","May 24, 2006"
Ron Wilkinson,Monsters and Critics,A thrilling get-acquainted tour of a side of the Philippines most never see.,"Full Review
                
                
                    | Original Score: 8/10
                
                |","May 24, 2006"
Harvey S. Karten,Compuserve,Shows how a movie with no budget can still thrill.,"| Original Score: B
                
                |","May 14, 2006"
Robert Koehler,Variety,"For a guerrilla-style, no-budget Yank indie to even tackle issues of jihad terror and naive Western thinking is noteworthy in itself, but Gamazon and Dela Llana inflame the issues with a gutsy, athletic filmmaking package.",|,"May 10, 2006"
Frederic and Mary Ann Brussat,Spirituality & Practice,Story of a young Filipino-American who returns to the Philippines and becomes the pawn of Muslim terrorist with a malevolent plan for him to execute.,"| Original Score: 3/5
                
                |","Mar 26, 2006"
Ed Gonzalez,Slant Magazine,The film suggests Jennifer Connelly's snorri-cam puke scene from Requiem for a Dream stretched out to 80 minutes.,"| Original Score: 2/4
                
                |","Mar 8, 2006"
David Nusair,Reel Film Reviews,An overlong and slightly pretentious indie effort.,|,"Dec 6, 2005"
Kirk Honeycutt,Hollywood Reporter,Guerilla filmmaking at its finest.,"Full Review
                
                
                |","Jul 7, 2005"
Rachel Morgan,Film Threat,"Cavite is a thoughtful and skillfully developed story and a true Independent film. If you have a chance to see it, do.","| Original Score: 4/5
                
                |","Apr 2, 2005"
Scott Weinberg,eFilmCritic.com,"It's fast-paced and grittily entertaining, but never in that safe and generic way that most Hollywood thrillers shoot for.","| Original Score: 4/5
                
                |","Mar 22, 2005"
